Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000066,Conservatorium Hotel (Taiko Bar),Van Baerlestraat 27,27,,1071AN,Amsterdam,020-Zuid,,,,,"Leveranciersingang in de garage, bij storekeeper afgeven!!",,,,,3
000067,kamer van Koophandel,Watermolenlaan 1,1,,3440AD,Woerden,Woerden,,,,,,,,,,
000069,Booz event design,Bartholomeuslaan 9,9,,2632DA,Nootdorp,Nootdorp,,,,,,,,,,
000072,Mankaiii,Koningsplein 53,53,,2611XE,Delft,Delft,,,,,,,,,,
000073,Cocktail Boutique,Gondelstraat 26,26,,2586ES,Den Haag,Den Haag,,,,,,,,,,3
000074,Smaak Ambassade,Arent Janszoon Ernststraat 691,691,,1017TH,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000075,Vondeltuin,Vondelpark 7,7,,1075VR,Amsterdam,020-Zuid,,,,,,,,,,3
000076,Fabulous.Agency BV,Back-Upstraat 20,20,,1033NX,Amsterdam,020-Noord,,,,,Bij Chase naar achteren doorijden,,,,,1
000077,Ford vd Kolk,Nudepark 177,177,,6702DZ,Wageningen,Wageningen,,,,,,,,,,
000078,Bonifatius,Postbus 12,12,,9100AA,Dokkum,Dokkum,,,,,,,,,,
000079,Bar Oldenhof BV,Elandsgracht 84,84,,1016TZ,Amsterdam,020-Centrum-West,,,,,Bellen als je voor de deur bent,,,,,4
000080,(Dylan) Hotel Exploitatiemaatschappij,Prinsengracht 495 (HEK),495,,1016VR,Amsterdam,020-Centrum-West,,,,,Niet op de stoep parkeren maar op de laad en los plek of op de brug.Door het hek lopen aan het einde naar rechts - Huisnr .495. ,,,,,4
000081,Exotic Diamond,Veerplein 99B,99,B,3131CX,Vlaardingen,Vlaardingen,,,,,,,,,,
000082,Tales and Spirits,Lijnbaansteeg 5,5,,1012TE,Amsterdam,020-Centrum,,,,,,,,,,5
000083,Bar Feijoa,Vijzelstraat 39,39,,1017HE,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000084,Trouw Amsterdam,Wibautstraat 127,127,,1091GL,Amsterdam,020-Oost,,,,,,,,,,2
000085,Dani Snow Burguess For Sugar & Spice,Jan Pieter Heijestraat 107 A,107,A,1053GN,Amsterdam,020-West,,,,,,,,,,4
000086,Tess Posthumus,Eerste Kostverlorenkade 12/1,12,1,1052EM,Amsterdam,020-West,,,,,,,,,,4
000088,Fadograph,Koestraat 24,24,,1012BX,Amsterdam,020-Centrum,,,,,,,,,,5
000089,Sofitel Legend The Grand,Oudewijds Voorburgwal 197,197,,1012EX,Amsterdam,020-Centrum,,,,,LEVERANCIERS INGANG IN DE SINT AGNIETENSTRAAT,,,,,5
000090,Conscious Hotel Vondelpark,Overtoom 519,519,,1054LH,Amsterdam,020-West,,,,,,,,,,4
000091,KeK,Leonie Hulsemans,,,2611EV,Delft,Delft,,,,,,,,,,
000092,Jimmy Woo,Lijnbaansgracht 241,241,,1017PH,Amsterdam,020-Centrum-Zuid,,11:30,,,Gelieve 0641343255 te bellen bij bezorging tussen 09.00-12.00,,,,,3
000093,Strandclub Wij,Strandweg 1,1,,2586JK,Den Haag,Den Haag,,,,,,,,,,
000094,de Kuyper,Buitenhavenweg 98,98,,3113BE,Schiedam,Schiedam,,,,,,,,,,
000097,Vistaprint,Hudsonweg 8,8,,5928LW,Venlo,Venlo,,,,,,,,,,
000098,Hanos His,Stadhoudersmolenweg 43-45,43,,7317AW,Apeldoorn,Apeldoorn,,,,,,,,,,
000099,Hanos Apeldoorn,Stadhoudersmolenweg 41,41,,7317AW,Apeldoorn,Apeldoorn,,,,,,,,,,
000100,Restaurant Fred,Honingerdijk 263,263,,3063AM,Rotterdam,Rotterdam,,,,,,,,,,
000101,Trinkgarten,Concordiastraat 68-16,6816,,3551EM,Utrecht,Utrecht,,,,,,,,,,
000102,EM GRAND-HOTEL KRASNAPOLSKY B.V.,Oudezijds Voorburgwal 226,226,,1012GJ,Amsterdam,020-Centrum,,,,✔️,Leveranciersingang Check Adres! - Aanbellen. Helemaal doorlopen naar binnnen tweede deur links. ,,KRAS,,,5
000105,"Florian Stallinga, Bartending, Beverages",Europaplein 101-2H,101,2H,1079AW,Amsterdam,020-Zuid,,,,,,,,,,3
000106,Marqt,Barentszplein 7,7,,1013NJ,Amsterdam,020-West,,,,,,,,,,4
000107,Roses BV (Rose's Cantina),Reguliersdwarsstraat 38,38,,1017BM,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000108,Moet-Hennessy,Oude Utrechtseweg 22-24,22,,3740AB,Baarn,Baarn,,,,,,,,,,
000109,Barkode,Wagenstraat 3-7,3,,1017CZ,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000110,Odeon Monumenten BV,Postbus 50,50,,1000AB,Amsterdam,Postbus,,,,,,,,,,
000111,Westerunie,Klonneplein 4-6,4,,1014DD,Amsterdam,020-West,,,,,,,,,,4
000112,Apenkooi Brand Activations BV,Cruquiusweg 146,146,,1019AK,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
000113,Concertgebouw,Concertgebouwplein 10,10,,1071LN,Amsterdam,020-Zuid,,,,,,,,,,3
000114,Peeters Vervoercentrale,Gyroscoopweg 4,4,,1042AB,Amsterdam,020-Westpoort,,,,,,,,,,4
000115,Onder de Boompjes,Nieuwsticht 5,5,,3113BH,Schiedam,Schiedam,,,,,,,,,,
000116,Café Kiebert,Marathonweg 2,2,,1076TG,Amsterdam,020-Zuid,,,,,,,,,,3
000117,Hugo's Bar&Kitchen,Hugo de Grootplein 10,10,,1052KW,Amsterdam,020-West,,,,,,,,,,4
000119,Door van Dinten,Egelantiersstraat 4-4hg,4,4,1015PL,Amsterdam,020-Centrum-West,,,,,,,,,,4
